seed,scenario,strategy,agent_id,tier,final_inventory,final_backlog,total_holding_cost,total_backlog_cost,total_cost,base_stock,capacity,lead_time,total_demand_received,total_orders_placed,avg_order_qty,order_variance,backlog_periods,total_demand,fulfilled_demand,agent_fill_rate
200,capacity_loss,baseline,0,supplier,63,0,7517.0,0.0,7517.0,60,50,3,17,20,0.16666666666666666,1.205555555555555,0,,,
200,capacity_loss,baseline,1,supplier,64,0,7632.0,0.0,7632.0,60,50,3,17,21,0.175,1.5110416666666648,0,,,
200,capacity_loss,baseline,2,supplier,70,0,8380.0,0.0,8380.0,60,50,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
200,capacity_loss,baseline,3,supplier,71,0,8498.0,0.0,8498.0,60,50,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
200,capacity_loss,baseline,4,plant,50,0,4610.0,0.0,4610.0,50,60,2,1375,17,0.14166666666666666,0.788263888888889,0,,,
200,capacity_loss,baseline,5,plant,50,0,4620.0,0.0,4620.0,50,60,2,1364,17,0.14166666666666666,0.7549305555555558,0,,,
200,capacity_loss,baseline,6,dc,16,0,1912.0,0.0,1912.0,30,0,2,10151,1375,11.458333333333334,54.948263888888896,0,,,
200,capacity_loss,baseline,7,dc,13,0,1918.0,0.0,1918.0,30,0,2,10301,1364,11.366666666666667,43.632222222222225,0,,,
200,capacity_loss,baseline,8,retailer,0,32,45.0,8945.0,8990.0,20,0,1,846,4501,37.50833333333333,171.43326388888892,108,846.0,797.0,0.942080378250591
200,capacity_loss,baseline,9,retailer,0,3,59.0,9145.0,9204.0,20,0,1,843,4660,38.833333333333336,197.02222222222224,108,843.0,816.0,0.9679715302491103
200,capacity_loss,baseline,10,retailer,0,203,51.0,39700.0,39751.0,20,0,1,884,5650,47.083333333333336,182.3097222222222,110,884.0,608.0,0.6877828054298643
200,capacity_loss,baseline,11,retailer,0,31,34.0,35325.0,35359.0,20,0,1,842,5641,47.00833333333333,172.60826388888887,112,842.0,579.0,0.6876484560570071
200,capacity_loss,dual_only,0,supplier,63,0,7517.0,0.0,7517.0,60,50,3,17,20,0.16666666666666666,1.205555555555555,0,,,
200,capacity_loss,dual_only,1,supplier,72,0,8616.0,0.0,8616.0,60,50,3,0,12,0.1,1.189999999999999,0,,,
200,capacity_loss,dual_only,2,supplier,63,0,7516.0,0.0,7516.0,60,50,3,17,20,0.16666666666666666,1.0888888888888886,0,,,
200,capacity_loss,dual_only,3,supplier,71,0,8498.0,0.0,8498.0,60,50,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
200,capacity_loss,dual_only,4,plant,50,0,4610.0,0.0,4610.0,50,60,2,1375,17,0.14166666666666666,0.788263888888889,0,,,
200,capacity_loss,dual_only,5,plant,50,0,4620.0,0.0,4620.0,50,60,2,1364,17,0.14166666666666666,0.7549305555555558,0,,,
200,capacity_loss,dual_only,6,dc,16,0,1912.0,0.0,1912.0,30,0,2,10151,1375,11.458333333333334,54.948263888888896,0,,,
200,capacity_loss,dual_only,7,dc,13,0,1918.0,0.0,1918.0,30,0,2,10301,1364,11.366666666666667,43.632222222222225,0,,,
200,capacity_loss,dual_only,8,retailer,0,32,45.0,8945.0,8990.0,20,0,1,846,4501,37.50833333333333,171.43326388888892,108,846.0,797.0,0.942080378250591
200,capacity_loss,dual_only,9,retailer,0,3,59.0,9145.0,9204.0,20,0,1,843,4660,38.833333333333336,197.02222222222224,108,843.0,816.0,0.9679715302491103
200,capacity_loss,dual_only,10,retailer,0,203,51.0,39700.0,39751.0,20,0,1,884,5650,47.083333333333336,182.3097222222222,110,884.0,608.0,0.6877828054298643
200,capacity_loss,dual_only,11,retailer,0,31,34.0,35325.0,35359.0,20,0,1,842,5641,47.00833333333333,172.60826388888887,112,842.0,579.0,0.6876484560570071
200,capacity_loss,safety_only,0,supplier,81,0,9677.0,0.0,9677.0,78,50,3,17,20,0.16666666666666666,1.205555555555555,0,,,
200,capacity_loss,safety_only,1,supplier,82,0,9792.0,0.0,9792.0,78,50,3,17,21,0.175,1.5110416666666648,0,,,
200,capacity_loss,safety_only,2,supplier,88,0,10540.0,0.0,10540.0,78,50,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
200,capacity_loss,safety_only,3,supplier,89,0,10658.0,0.0,10658.0,78,50,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
200,capacity_loss,safety_only,4,plant,65,0,6056.0,0.0,6056.0,65,60,2,1729,17,0.14166666666666666,0.788263888888889,0,,,
200,capacity_loss,safety_only,5,plant,65,0,6112.0,0.0,6112.0,65,60,2,1672,17,0.14166666666666666,0.7549305555555558,0,,,
200,capacity_loss,safety_only,6,dc,23,0,2597.0,0.0,2597.0,39,0,2,2282,1729,14.408333333333333,81.39159722222225,0,,,
200,capacity_loss,safety_only,7,dc,31,0,2639.0,0.0,2639.0,39,0,2,3127,1672,13.933333333333334,64.11222222222221,0,,,
200,capacity_loss,safety_only,8,retailer,19,0,1733.0,0.0,1733.0,26,0,1,846,1002,8.35,17.0275,0,846.0,846.0,1.0
200,capacity_loss,safety_only,9,retailer,21,0,1666.0,55.0,1721.0,26,0,1,843,1321,11.008333333333333,46.65826388888889,3,843.0,843.0,1.0
200,capacity_loss,safety_only,10,retailer,17,0,1627.0,0.0,1627.0,26,0,1,884,1280,10.666666666666666,47.00555555555555,0,884.0,884.0,1.0
200,capacity_loss,safety_only,11,retailer,13,0,1384.0,65.0,1449.0,26,0,1,842,1806,15.05,84.41416666666667,5,842.0,842.0,1.0
200,capacity_loss,flex_only,0,supplier,81,0,9677.0,0.0,9677.0,78,75,3,17,20,0.16666666666666666,1.205555555555555,0,,,
200,capacity_loss,flex_only,1,supplier,82,0,9792.0,0.0,9792.0,78,75,3,17,21,0.175,1.5110416666666648,0,,,
200,capacity_loss,flex_only,2,supplier,88,0,10540.0,0.0,10540.0,78,75,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
