seed,scenario,strategy,agent_id,tier,final_inventory,final_backlog,total_holding_cost,total_backlog_cost,total_cost,base_stock,capacity,lead_time,total_demand_received,total_orders_placed,avg_order_qty,order_variance,backlog_periods,total_demand,fulfilled_demand,agent_fill_rate
2411,capacity_loss,baseline,0,supplier,63,0,7521.0,0.0,7521.0,60,50,3,17,20,0.16666666666666666,1.2222222222222217,0,,,
2411,capacity_loss,baseline,1,supplier,61,0,7285.0,0.0,7285.0,60,50,3,18,19,0.15833333333333333,1.0665972222222218,0,,,
2411,capacity_loss,baseline,2,supplier,70,0,8380.0,0.0,8380.0,60,50,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
2411,capacity_loss,baseline,3,supplier,71,0,8498.0,0.0,8498.0,60,50,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
2411,capacity_loss,baseline,4,plant,50,0,4626.0,0.0,4626.0,50,60,2,1359,17,0.14166666666666666,0.6715972222222224,0,,,
2411,capacity_loss,baseline,5,plant,50,0,4622.0,0.0,4622.0,50,60,2,1360,18,0.15,0.6941666666666667,0,,,
2411,capacity_loss,baseline,6,dc,6,0,1921.0,0.0,1921.0,30,0,2,10654,1359,11.325,61.31937500000001,0,,,
2411,capacity_loss,baseline,7,dc,17,0,1913.0,0.0,1913.0,30,0,2,10578,1360,11.333333333333334,35.38888888888889,0,,,
2411,capacity_loss,baseline,8,retailer,0,67,71.0,13965.0,14036.0,20,0,1,892,4900,40.833333333333336,204.10555555555555,109,892.0,825.0,0.9248878923766816
2411,capacity_loss,baseline,9,retailer,0,18,62.0,12300.0,12362.0,20,0,1,875,4944,41.2,203.4933333333333,103,875.0,834.0,0.9531428571428572
2411,capacity_loss,baseline,10,retailer,0,8,53.0,37895.0,37948.0,20,0,1,905,5754,47.95,187.53083333333333,112,905.0,563.0,0.6220994475138122
2411,capacity_loss,baseline,11,retailer,0,275,34.0,32680.0,32714.0,20,0,1,837,5634,46.95,161.63083333333333,113,837.0,557.0,0.6654719235364397
2411,capacity_loss,dual_only,0,supplier,63,0,7521.0,0.0,7521.0,60,50,3,17,20,0.16666666666666666,1.2222222222222217,0,,,
2411,capacity_loss,dual_only,1,supplier,70,0,8380.0,0.0,8380.0,60,50,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
2411,capacity_loss,dual_only,2,supplier,61,0,7285.0,0.0,7285.0,60,50,3,18,19,0.15833333333333333,0.9999305555555551,0,,,
2411,capacity_loss,dual_only,3,supplier,71,0,8498.0,0.0,8498.0,60,50,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
2411,capacity_loss,dual_only,4,plant,50,0,4626.0,0.0,4626.0,50,60,2,1359,17,0.14166666666666666,0.6715972222222224,0,,,
2411,capacity_loss,dual_only,5,plant,50,0,4622.0,0.0,4622.0,50,60,2,1360,18,0.15,0.6941666666666667,0,,,
2411,capacity_loss,dual_only,6,dc,6,0,1921.0,0.0,1921.0,30,0,2,10654,1359,11.325,61.31937500000001,0,,,
2411,capacity_loss,dual_only,7,dc,17,0,1913.0,0.0,1913.0,30,0,2,10578,1360,11.333333333333334,35.38888888888889,0,,,
2411,capacity_loss,dual_only,8,retailer,0,67,71.0,13965.0,14036.0,20,0,1,892,4900,40.833333333333336,204.10555555555555,109,892.0,825.0,0.9248878923766816
2411,capacity_loss,dual_only,9,retailer,0,18,62.0,12300.0,12362.0,20,0,1,875,4944,41.2,203.4933333333333,103,875.0,834.0,0.9531428571428572
2411,capacity_loss,dual_only,10,retailer,0,8,53.0,37895.0,37948.0,20,0,1,905,5754,47.95,187.53083333333333,112,905.0,563.0,0.6220994475138122
2411,capacity_loss,dual_only,11,retailer,0,275,34.0,32680.0,32714.0,20,0,1,837,5634,46.95,161.63083333333333,113,837.0,557.0,0.6654719235364397
2411,capacity_loss,safety_only,0,supplier,81,0,9681.0,0.0,9681.0,78,50,3,17,20,0.16666666666666666,1.2222222222222217,0,,,
2411,capacity_loss,safety_only,1,supplier,79,0,9445.0,0.0,9445.0,78,50,3,18,19,0.15833333333333333,1.0665972222222218,0,,,
2411,capacity_loss,safety_only,2,supplier,88,0,10540.0,0.0,10540.0,78,50,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
2411,capacity_loss,safety_only,3,supplier,89,0,10658.0,0.0,10658.0,78,50,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
2411,capacity_loss,safety_only,4,plant,65,0,5992.0,0.0,5992.0,65,60,2,1793,17,0.14166666666666666,0.6715972222222224,0,,,
2411,capacity_loss,safety_only,5,plant,65,0,6082.0,0.0,6082.0,65,60,2,1700,18,0.15,0.6941666666666667,0,,,
2411,capacity_loss,safety_only,6,dc,18,0,2554.0,0.0,2554.0,39,0,2,3399,1793,14.941666666666666,142.72159722222221,0,,,
2411,capacity_loss,safety_only,7,dc,19,0,2673.0,0.0,2673.0,39,0,2,2371,1700,14.166666666666666,100.75555555555555,0,,,
2411,capacity_loss,safety_only,8,retailer,18,0,1533.0,0.0,1533.0,26,0,1,892,1435,11.958333333333334,48.98993055555555,0,892.0,892.0,1.0
2411,capacity_loss,safety_only,9,retailer,15,0,1679.0,0.0,1679.0,26,0,1,875,1111,9.258333333333333,33.824930555555554,0,875.0,875.0,1.0
2411,capacity_loss,safety_only,10,retailer,19,0,1244.0,70.0,1314.0,26,0,1,905,1964,16.366666666666667,93.7988888888889,7,905.0,905.0,1.0
2411,capacity_loss,safety_only,11,retailer,16,0,1668.0,5.0,1673.0,26,0,1,837,1260,10.5,47.86666666666667,1,837.0,837.0,1.0
2411,capacity_loss,flex_only,0,supplier,81,0,9681.0,0.0,9681.0,78,75,3,17,20,0.16666666666666666,1.2222222222222217,0,,,
2411,capacity_loss,flex_only,1,supplier,79,0,9445.0,0.0,9445.0,78,75,3,18,19,0.15833333333333333,1.0665972222222218,0,,,
2411,capacity_loss,flex_only,2,supplier,88,0,10540.0,0.0,10540.0,78,75,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
2411,capacity_loss,flex_only,3,supplier,89,0,10658.0,0.0,10658.0,78,75,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
2411,capacity_loss,flex_only,4,plant,65,0,5992.0,0.0,5992.0,65,90,2,1793,17,0.14166666666666666,0.6715972222222224,0,,,
2411,capacity_loss,flex_only,5,plant,65,0,6082.0,0.0,6082.0,65,90,2,1700,18,0.15,0.6941666666666667,0,,,
2411,capacity_loss,flex_only,6,dc,18,0,2554.0,0.0,2554.0,39,0,2,3399,1793,14.941666666666666,142.72159722222221,0,,,
2411,capacity_loss,flex_only,7,dc,19,0,2673.0,0.0,2673.0,39,0,2,2371,1700,14.166666666666666,100.75555555555555,0,,,
2411,capacity_loss,flex_only,8,retailer,18,0,1533.0,0.0,1533.0,26,0,1,892,1435,11.958333333333334,48.98993055555555,0,892.0,892.0,1.0
2411,capacity_loss,flex_only,9,retailer,15,0,1679.0,0.0,1679.0,26,0,1,875,1111,9.258333333333333,33.824930555555554,0,875.0,875.0,1.0
2411,capacity_loss,flex_only,10,retailer,19,0,1244.0,70.0,1314.0,26,0,1,905,1964,16.366666666666667,93.7988888888889,7,905.0,905.0,1.0
2411,capacity_loss,flex_only,11,retailer,16,0,1668.0,5.0,1673.0,26,0,1,837,1260,10.5,47.86666666666667,1,837.0,837.0,1.0
2411,capacity_loss,dynalloc_only,0,supplier,81,0,9681.0,0.0,9681.0,78,50,3,17,20,0.16666666666666666,1.2222222222222217,0,,,
2411,capacity_loss,dynalloc_only,1,supplier,79,0,9445.0,0.0,9445.0,78,50,3,18,19,0.15833333333333333,1.0665972222222218,0,,,
2411,capacity_loss,dynalloc_only,2,supplier,88,0,10540.0,0.0,10540.0,78,50,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
2411,capacity_loss,dynalloc_only,3,supplier,89,0,10658.0,0.0,10658.0,78,50,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
2411,capacity_loss,dynalloc_only,4,plant,65,0,5989.0,0.0,5989.0,65,60,2,1796,17,0.14166666666666666,0.6715972222222224,0,,,
2411,capacity_loss,dynalloc_only,5,plant,65,0,6083.0,0.0,6083.0,65,60,2,1699,18,0.15,0.6941666666666667,0,,,
2411,capacity_loss,dynalloc_only,6,dc,15,0,2515.0,0.0,2515.0,39,0,2,2134,1796,14.966666666666667,122.5488888888889,0,,,
2411,capacity_loss,dynalloc_only,7,dc,19,0,2614.0,0.0,2614.0,39,0,2,1830,1699,14.158333333333333,84.09993055555556,0,,,
2411,capacity_loss,dynalloc_only,8,retailer,18,0,1664.0,0.0,1664.0,26,0,1,892,962,8.016666666666667,20.68305555555555,0,892.0,892.0,1.0
2411,capacity_loss,dynalloc_only,9,retailer,15,0,1737.0,10.0,1747.0,26,0,1,875,886,7.383333333333334,18.303055555555556,1,875.0,875.0,1.0
2411,capacity_loss,dynalloc_only,10,retailer,20,0,1650.0,5.0,1655.0,26,0,1,905,1172,9.766666666666667,49.54555555555556,1,905.0,905.0,1.0
2411,capacity_loss,dynalloc_only,11,retailer,16,0,1757.0,0.0,1757.0,26,0,1,837,944,7.866666666666666,21.04888888888889,0,837.0,837.0,1.0
2411,capacity_loss,all_combined,0,supplier,96,0,11481.0,0.0,11481.0,93,75,3,17,20,0.16666666666666666,1.2222222222222217,0,,,
2411,capacity_loss,all_combined,1,supplier,103,0,12340.0,0.0,12340.0,93,75,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
2411,capacity_loss,all_combined,2,supplier,94,0,11245.0,0.0,11245.0,93,75,3,18,19,0.15833333333333333,0.9999305555555551,0,,,
2411,capacity_loss,all_combined,3,supplier,104,0,12458.0,0.0,12458.0,93,75,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
2411,capacity_loss,all_combined,4,plant,78,0,7552.0,0.0,7552.0,78,90,2,1793,17,0.14166666666666666,0.6715972222222224,0,,,
2411,capacity_loss,all_combined,5,plant,78,0,7642.0,0.0,7642.0,78,90,2,1700,18,0.15,0.6941666666666667,0,,,
2411,capacity_loss,all_combined,6,dc,23,0,3323.0,0.0,3323.0,46,0,2,1829,1793,14.941666666666666,65.45493055555556,0,,,
2411,capacity_loss,all_combined,7,dc,25,0,3471.0,0.0,3471.0,46,0,2,1725,1700,14.166666666666666,94.52222222222221,0,,,
2411,capacity_loss,all_combined,8,retailer,23,0,2277.0,0.0,2277.0,31,0,1,892,890,7.416666666666667,19.926388888888887,0,892.0,892.0,1.0
2411,capacity_loss,all_combined,9,retailer,20,0,2334.0,0.0,2334.0,31,0,1,875,871,7.258333333333334,15.624930555555556,0,875.0,875.0,1.0
2411,capacity_loss,all_combined,10,retailer,24,0,2270.0,0.0,2270.0,31,0,1,905,939,7.825,17.57770833333333,0,905.0,905.0,1.0
2411,capacity_loss,all_combined,11,retailer,21,0,2370.0,0.0,2370.0,31,0,1,837,854,7.116666666666666,15.036388888888888,0,837.0,837.0,1.0
2411,lead_time_surge,baseline,0,supplier,96,0,11481.0,0.0,11481.0,93,50,3,17,20,0.16666666666666666,1.2222222222222217,0,,,
2411,lead_time_surge,baseline,1,supplier,94,0,11245.0,0.0,11245.0,93,50,3,18,19,0.15833333333333333,1.0665972222222218,0,,,
2411,lead_time_surge,baseline,2,supplier,103,0,12340.0,0.0,12340.0,93,50,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
2411,lead_time_surge,baseline,3,supplier,104,0,12458.0,0.0,12458.0,93,50,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
2411,lead_time_surge,baseline,4,plant,78,0,7552.0,0.0,7552.0,78,60,2,1793,17,0.14166666666666666,0.6715972222222224,0,,,
2411,lead_time_surge,baseline,5,plant,78,0,7642.0,0.0,7642.0,78,60,2,1700,18,0.15,0.6941666666666667,0,,,
2411,lead_time_surge,baseline,6,dc,23,0,2939.0,0.0,2939.0,46,0,2,5784,1793,14.941666666666666,118.95493055555555,0,,,
2411,lead_time_surge,baseline,7,dc,25,0,3091.0,0.0,3091.0,46,0,2,5417,1700,14.166666666666666,108.00555555555555,0,,,
2411,lead_time_surge,baseline,8,retailer,23,0,1634.0,1115.0,2749.0,31,0,1,892,2448,20.4,316.98999999999995,23,892.0,892.0,1.0
2411,lead_time_surge,baseline,9,retailer,20,0,1739.0,1990.0,3729.0,31,0,1,875,2485,20.708333333333332,485.83993055555567,25,875.0,875.0,1.0
2411,lead_time_surge,baseline,10,retailer,24,0,1305.0,2845.0,4150.0,31,0,1,905,3336,27.8,569.6933333333333,35,905.0,905.0,1.0
2411,lead_time_surge,baseline,11,retailer,21,0,1596.0,3160.0,4756.0,31,0,1,837,2932,24.433333333333334,652.8788888888888,34,837.0,837.0,1.0
2411,lead_time_surge,dual_only,0,supplier,96,0,11481.0,0.0,11481.0,93,50,3,17,20,0.16666666666666666,1.2222222222222217,0,,,
2411,lead_time_surge,dual_only,1,supplier,103,0,12340.0,0.0,12340.0,93,50,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
2411,lead_time_surge,dual_only,2,supplier,94,0,11245.0,0.0,11245.0,93,50,3,18,19,0.15833333333333333,0.9999305555555551,0,,,
2411,lead_time_surge,dual_only,3,supplier,104,0,12458.0,0.0,12458.0,93,50,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
2411,lead_time_surge,dual_only,4,plant,78,0,7552.0,0.0,7552.0,78,60,2,1793,17,0.14166666666666666,0.6715972222222224,0,,,
2411,lead_time_surge,dual_only,5,plant,78,0,7642.0,0.0,7642.0,78,60,2,1700,18,0.15,0.6941666666666667,0,,,
2411,lead_time_surge,dual_only,6,dc,23,0,2939.0,0.0,2939.0,46,0,2,5784,1793,14.941666666666666,118.95493055555555,0,,,
2411,lead_time_surge,dual_only,7,dc,25,0,3091.0,0.0,3091.0,46,0,2,5417,1700,14.166666666666666,108.00555555555555,0,,,
2411,lead_time_surge,dual_only,8,retailer,23,0,1634.0,1115.0,2749.0,31,0,1,892,2448,20.4,316.98999999999995,23,892.0,892.0,1.0
2411,lead_time_surge,dual_only,9,retailer,20,0,1739.0,1990.0,3729.0,31,0,1,875,2485,20.708333333333332,485.83993055555567,25,875.0,875.0,1.0
2411,lead_time_surge,dual_only,10,retailer,24,0,1305.0,2845.0,4150.0,31,0,1,905,3336,27.8,569.6933333333333,35,905.0,905.0,1.0
2411,lead_time_surge,dual_only,11,retailer,21,0,1596.0,3160.0,4756.0,31,0,1,837,2932,24.433333333333334,652.8788888888888,34,837.0,837.0,1.0
2411,lead_time_surge,safety_only,0,supplier,123,0,14721.0,0.0,14721.0,120,50,3,17,20,0.16666666666666666,1.2222222222222217,0,,,
2411,lead_time_surge,safety_only,1,supplier,121,0,14485.0,0.0,14485.0,120,50,3,18,19,0.15833333333333333,1.0665972222222218,0,,,
2411,lead_time_surge,safety_only,2,supplier,130,0,15580.0,0.0,15580.0,120,50,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
2411,lead_time_surge,safety_only,3,supplier,131,0,15698.0,0.0,15698.0,120,50,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
2411,lead_time_surge,safety_only,4,plant,101,0,10312.0,0.0,10312.0,101,60,2,1793,17,0.14166666666666666,0.6715972222222224,0,,,
2411,lead_time_surge,safety_only,5,plant,101,0,10402.0,0.0,10402.0,101,60,2,1700,18,0.15,0.6941666666666667,0,,,
2411,lead_time_surge,safety_only,6,dc,36,0,4487.0,0.0,4487.0,59,0,2,3002,1793,14.941666666666666,87.07159722222222,0,,,
2411,lead_time_surge,safety_only,7,dc,38,0,4559.0,0.0,4559.0,59,0,2,3842,1700,14.166666666666666,106.38888888888889,0,,,
2411,lead_time_surge,safety_only,8,retailer,32,0,3127.0,45.0,3172.0,40,0,1,892,1382,11.516666666666667,152.01638888888888,3,892.0,892.0,1.0
2411,lead_time_surge,safety_only,9,retailer,29,0,2975.0,485.0,3460.0,40,0,1,875,1843,15.358333333333333,367.14659722222217,11,875.0,875.0,1.0
2411,lead_time_surge,safety_only,10,retailer,33,0,3000.0,200.0,3200.0,40,0,1,905,1620,13.5,252.91666666666666,7,905.0,905.0,1.0
2411,lead_time_surge,safety_only,11,retailer,30,0,2893.0,695.0,3588.0,40,0,1,837,1999,16.658333333333335,435.47493055555566,15,837.0,837.0,1.0
2411,lead_time_surge,flex_only,0,supplier,123,0,14721.0,0.0,14721.0,120,75,3,17,20,0.16666666666666666,1.2222222222222217,0,,,
2411,lead_time_surge,flex_only,1,supplier,121,0,14485.0,0.0,14485.0,120,75,3,18,19,0.15833333333333333,1.0665972222222218,0,,,
2411,lead_time_surge,flex_only,2,supplier,130,0,15580.0,0.0,15580.0,120,75,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
2411,lead_time_surge,flex_only,3,supplier,131,0,15698.0,0.0,15698.0,120,75,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
2411,lead_time_surge,flex_only,4,plant,101,0,10312.0,0.0,10312.0,101,90,2,1793,17,0.14166666666666666,0.6715972222222224,0,,,
2411,lead_time_surge,flex_only,5,plant,101,0,10402.0,0.0,10402.0,101,90,2,1700,18,0.15,0.6941666666666667,0,,,
2411,lead_time_surge,flex_only,6,dc,36,0,4487.0,0.0,4487.0,59,0,2,3002,1793,14.941666666666666,87.07159722222222,0,,,
2411,lead_time_surge,flex_only,7,dc,38,0,4559.0,0.0,4559.0,59,0,2,3842,1700,14.166666666666666,106.38888888888889,0,,,
2411,lead_time_surge,flex_only,8,retailer,32,0,3127.0,45.0,3172.0,40,0,1,892,1382,11.516666666666667,152.01638888888888,3,892.0,892.0,1.0
2411,lead_time_surge,flex_only,9,retailer,29,0,2975.0,485.0,3460.0,40,0,1,875,1843,15.358333333333333,367.14659722222217,11,875.0,875.0,1.0
2411,lead_time_surge,flex_only,10,retailer,33,0,3000.0,200.0,3200.0,40,0,1,905,1620,13.5,252.91666666666666,7,905.0,905.0,1.0
2411,lead_time_surge,flex_only,11,retailer,30,0,2893.0,695.0,3588.0,40,0,1,837,1999,16.658333333333335,435.47493055555566,15,837.0,837.0,1.0
2411,lead_time_surge,dynalloc_only,0,supplier,123,0,14721.0,0.0,14721.0,120,50,3,17,20,0.16666666666666666,1.2222222222222217,0,,,
2411,lead_time_surge,dynalloc_only,1,supplier,121,0,14485.0,0.0,14485.0,120,50,3,18,19,0.15833333333333333,1.0665972222222218,0,,,
2411,lead_time_surge,dynalloc_only,2,supplier,130,0,15580.0,0.0,15580.0,120,50,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
2411,lead_time_surge,dynalloc_only,3,supplier,131,0,15698.0,0.0,15698.0,120,50,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
2411,lead_time_surge,dynalloc_only,4,plant,101,0,10312.0,0.0,10312.0,101,60,2,1793,17,0.14166666666666666,0.6715972222222224,0,,,
2411,lead_time_surge,dynalloc_only,5,plant,101,0,10402.0,0.0,10402.0,101,60,2,1700,18,0.15,0.6941666666666667,0,,,
2411,lead_time_surge,dynalloc_only,6,dc,36,0,4494.0,0.0,4494.0,59,0,2,2618,1793,14.941666666666666,106.63826388888889,0,,,
2411,lead_time_surge,dynalloc_only,7,dc,38,0,4554.0,0.0,4554.0,59,0,2,3164,1700,14.166666666666666,118.35555555555557,0,,,
2411,lead_time_surge,dynalloc_only,8,retailer,32,0,3231.0,60.0,3291.0,40,0,1,892,1198,9.983333333333333,118.08305555555556,2,892.0,892.0,1.0
2411,lead_time_surge,dynalloc_only,9,retailer,29,0,3061.0,190.0,3251.0,40,0,1,875,1594,13.283333333333333,289.1697222222222,9,875.0,875.0,1.0
2411,lead_time_surge,dynalloc_only,10,retailer,33,0,3113.0,140.0,3253.0,40,0,1,905,1420,11.833333333333334,181.7222222222222,5,905.0,905.0,1.0
2411,lead_time_surge,dynalloc_only,11,retailer,30,0,3093.0,210.0,3303.0,40,0,1,837,1570,13.083333333333334,250.0097222222222,9,837.0,837.0,1.0
2411,lead_time_surge,all_combined,0,supplier,147,0,17601.0,0.0,17601.0,144,75,3,17,20,0.16666666666666666,1.2222222222222217,0,,,
2411,lead_time_surge,all_combined,1,supplier,154,0,18460.0,0.0,18460.0,144,75,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
2411,lead_time_surge,all_combined,2,supplier,145,0,17365.0,0.0,17365.0,144,75,3,18,19,0.15833333333333333,0.9999305555555551,0,,,
2411,lead_time_surge,all_combined,3,supplier,155,0,18578.0,0.0,18578.0,144,75,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
2411,lead_time_surge,all_combined,4,plant,121,0,12712.0,0.0,12712.0,121,90,2,1793,17,0.14166666666666666,0.6715972222222224,0,,,
2411,lead_time_surge,all_combined,5,plant,121,0,12802.0,0.0,12802.0,121,90,2,1700,18,0.15,0.6941666666666667,0,,,
2411,lead_time_surge,all_combined,6,dc,47,0,5804.0,0.0,5804.0,70,0,2,2113,1793,14.941666666666666,103.83826388888889,0,,,
2411,lead_time_surge,all_combined,7,dc,49,0,5853.0,0.0,5853.0,70,0,2,2541,1700,14.166666666666666,126.37222222222223,0,,,
2411,lead_time_surge,all_combined,8,retailer,40,0,4319.0,0.0,4319.0,48,0,1,892,915,7.625,26.567708333333332,0,892.0,892.0,1.0
2411,lead_time_surge,all_combined,9,retailer,37,0,4270.0,0.0,4270.0,48,0,1,875,1164,9.7,110.75999999999998,0,875.0,875.0,1.0
2411,lead_time_surge,all_combined,10,retailer,41,0,4199.0,25.0,4224.0,48,0,1,905,1198,9.983333333333333,120.1997222222222,1,905.0,905.0,1.0
2411,lead_time_surge,all_combined,11,retailer,38,0,4166.0,90.0,4256.0,48,0,1,837,1377,11.475,216.09937499999998,3,837.0,837.0,1.0
2411,demand_spike,baseline,0,supplier,147,0,17601.0,0.0,17601.0,144,50,3,17,20,0.16666666666666666,1.2222222222222217,0,,,
2411,demand_spike,baseline,1,supplier,145,0,17365.0,0.0,17365.0,144,50,3,18,19,0.15833333333333333,1.0665972222222218,0,,,
2411,demand_spike,baseline,2,supplier,154,0,18460.0,0.0,18460.0,144,50,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
2411,demand_spike,baseline,3,supplier,155,0,18578.0,0.0,18578.0,144,50,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
2411,demand_spike,baseline,4,plant,121,0,12524.0,0.0,12524.0,121,60,2,1981,17,0.14166666666666666,0.6715972222222224,0,,,
2411,demand_spike,baseline,5,plant,121,0,12607.0,0.0,12607.0,121,60,2,1895,18,0.15,0.6941666666666667,0,,,
2411,demand_spike,baseline,6,dc,49,0,6028.0,0.0,6028.0,70,0,2,3587,1981,16.508333333333333,114.33326388888888,0,,,
2411,demand_spike,baseline,7,dc,53,0,6131.0,0.0,6131.0,70,0,2,3540,1895,15.791666666666666,156.61493055555553,0,,,
2411,demand_spike,baseline,8,retailer,38,0,3965.0,610.0,4575.0,48,0,1,983,1555,12.958333333333334,317.03993055555554,8,983.0,983.0,1.0
2411,demand_spike,baseline,9,retailer,39,0,4003.0,740.0,4743.0,48,0,1,978,1619,13.491666666666667,362.74993055555547,8,978.0,978.0,1.0
2411,demand_spike,baseline,10,retailer,36,0,3803.0,1395.0,5198.0,48,0,1,1013,2032,16.933333333333334,726.0955555555554,13,1013.0,1013.0,1.0
