Scenario,Strategy,Pre-Fill,Post-Fill,Min Fill,Fill Drop %,Final Fill,Final Cost,Holding Cost,Backlog Cost,Bullwhip,Backlog Dur,TTR,post_fill_mean,post_fill_std,final_cost_mean,final_cost_std,ttr_mean,ttr_std,BW Retailer,BW DC,BW Plant,BW Supplier
capacity_loss,baseline,0.969 ± nan,0.797 ± nan,0.773 ± nan,20.2 ± nan,0.792 ± nan,141826 ± nan,44986 ± nan,96840 ± nan,0.041 ± nan,106.5 ± nan,109.0 ± nan,0.7971797042131761,,141826.0,,109.0,,11.91 ± nan,0.08 ± nan,0.01 ± nan,2.97 ± nan
capacity_loss,dual_only,0.969 ± nan,0.797 ± nan,0.773 ± nan,20.2 ± nan,0.792 ± nan,141826 ± nan,44986 ± nan,96840 ± nan,0.040 ± nan,106.5 ± nan,109.0 ± nan,0.7971797042131761,,141826.0,,109.0,,11.91 ± nan,0.08 ± nan,0.01 ± nan,2.92 ± nan
capacity_loss,safety_only,1.000 ± nan,1.000 ± nan,0.997 ± nan,0.3 ± nan,1.000 ± nan,63824 ± nan,63749 ± nan,75 ± nan,0.039 ± nan,2.0 ± nan,11.0 ± nan,0.9998739357485121,,63824.0,,11.0,,3.78 ± nan,0.63 ± nan,0.01 ± nan,2.97 ± nan
capacity_loss,flex_only,1.000 ± nan,1.000 ± nan,0.997 ± nan,0.3 ± nan,1.000 ± nan,63824 ± nan,63749 ± nan,75 ± nan,0.039 ± nan,2.0 ± nan,11.0 ± nan,0.9998739357485121,,63824.0,,11.0,,3.78 ± nan,0.63 ± nan,0.01 ± nan,2.97 ± nan
capacity_loss,dynalloc_only,1.000 ± nan,1.000 ± nan,0.998 ± nan,0.2 ± nan,1.000 ± nan,64348 ± nan,64333 ± nan,15 ± nan,0.055 ± nan,0.5 ± nan,24.0 ± nan,0.999977331635517,,64348.0,,24.0,,1.68 ± nan,1.66 ± nan,0.01 ± nan,2.97 ± nan
capacity_loss,all_combined,1.000 ± nan,1.000 ± nan,1.000 ± nan,0.0 ± nan,1.000 ± nan,78763 ± nan,78763 ± nan,0 ± nan,0.066 ± nan,0.0 ± nan,1.0 ± nan,1.0,,78763.0,,1.0,,1.02 ± nan,2.58 ± nan,0.01 ± nan,2.92 ± nan
lead_time_surge,baseline,1.000 ± nan,0.965 ± nan,0.761 ± nan,23.9 ± nan,1.000 ± nan,84132 ± nan,75022 ± nan,9110 ± nan,0.034 ± nan,29.2 ± nan,32.0 ± nan,0.9648356522958202,,84132.0,,32.0,,30.75 ± nan,0.06 ± nan,0.01 ± nan,2.97 ± nan
lead_time_surge,dual_only,1.000 ± nan,0.965 ± nan,0.761 ± nan,23.9 ± nan,1.000 ± nan,84132 ± nan,75022 ± nan,9110 ± nan,0.033 ± nan,29.2 ± nan,32.0 ± nan,0.9648356522958202,,84132.0,,32.0,,30.75 ± nan,0.06 ± nan,0.01 ± nan,2.92 ± nan
lead_time_surge,safety_only,1.000 ± nan,0.994 ± nan,0.895 ± nan,10.5 ± nan,1.000 ± nan,103664 ± nan,102239 ± nan,1425 ± nan,0.032 ± nan,9.0 ± nan,17.0 ± nan,0.9935340333381054,,103664.0,,17.0,,18.23 ± nan,0.08 ± nan,0.01 ± nan,2.97 ± nan
lead_time_surge,flex_only,1.000 ± nan,0.994 ± nan,0.895 ± nan,10.5 ± nan,1.000 ± nan,103664 ± nan,102239 ± nan,1425 ± nan,0.032 ± nan,9.0 ± nan,17.0 ± nan,0.9935340333381054,,103664.0,,17.0,,18.23 ± nan,0.08 ± nan,0.01 ± nan,2.97 ± nan
