seed,scenario,strategy,pre_fill,post_fill,min_fill,fill_drop_pct,final_fill,final_cost,cost_increase,holding_cost,backlog_cost,bullwhip,backlog_dur,ttr,bullwhip_retailer,bullwhip_dc,bullwhip_plant,bullwhip_supplier
2411,capacity_loss,baseline,0.9694117748576668,0.7971797042131761,0.7732536421367202,20.23475862460485,0.7919635223710458,141826.0,137723.0,44986.0,96840.0,0.0407279026216791,106.5,109.0,11.911591045182462,0.0814913316973422,0.0141228687788556,2.970899305338257
2411,capacity_loss,dual_only,0.9694117748576668,0.7971797042131761,0.7732536421367202,20.23475862460485,0.7919635223710458,141826.0,137723.0,44986.0,96840.0,0.040069008342663,106.5,109.0,11.911591045182462,0.0814913316973422,0.0141228687788556,2.922836222542086
2411,capacity_loss,safety_only,1.0,0.999873935748512,0.9968152866242038,0.3184713375796177,1.0,63824.0,58563.0,63749.0,75.0,0.0394317903398857,2.0,11.0,3.7777952832254487,0.627085897516055,0.0056026450580853,2.970899305338257
2411,capacity_loss,flex_only,1.0,0.999873935748512,0.9968152866242038,0.3184713375796177,1.0,63824.0,58563.0,63749.0,75.0,0.0394317903398857,2.0,11.0,3.7777952832254487,0.627085897516055,0.0056026450580853,2.970899305338257
2411,capacity_loss,dynalloc_only,1.0,0.999977331635517,0.9980657640232108,0.1934235976789211,1.0,64348.0,59089.0,64333.0,15.0,0.0547843237843835,0.5,24.0,1.682728231355506,1.6606828839390384,0.0065988412813847,2.970899305338257
2411,capacity_loss,all_combined,1.0,1.0,1.0,0.0,1.0,78763.0,72326.0,78763.0,0.0,0.0655908954682474,0.0,1.0,1.0207737521505216,2.5798555143960247,0.0085214637550203,2.922836222542086
2411,lead_time_surge,baseline,1.0,0.9648356522958202,0.7605421686746988,23.94578313253012,1.0,84132.0,77678.0,75022.0,9110.0,0.0336861913684788,29.25,32.0,30.752368850628056,0.0613512288536469,0.0060098293214584,2.970899305338257
2411,lead_time_surge,dual_only,1.0,0.9648356522958202,0.7605421686746988,23.94578313253012,1.0,84132.0,77678.0,75022.0,9110.0,0.0331412175950757,29.25,32.0,30.752368850628056,0.0613512288536469,0.0060098293214584,2.922836222542086
2411,lead_time_surge,safety_only,1.0,0.9935340333381054,0.8945783132530121,10.542168674698791,1.0,103664.0,95069.0,102239.0,1425.0,0.0322048800289766,9.0,17.0,18.233407786145516,0.0843422451416133,0.0070488902858639,2.970899305338257
2411,lead_time_surge,flex_only,1.0,0.9935340333381054,0.8945783132530121,10.542168674698791,1.0,103664.0,95069.0,102239.0,1425.0,0.0322048800289766,9.0,17.0,18.233407786145516,0.0843422451416133,0.0070488902858639,2.970899305338257
2411,lead_time_surge,dynalloc_only,1.0,0.9952165806311408,0.9171686746987951,8.283132530120485,1.0,103344.0,94749.0,102744.0,600.0,0.0345544841840006,6.25,16.0,12.615147788950845,0.1520853399343455,0.0060622911006306,2.970899305338257
2411,lead_time_surge,all_combined,1.0,0.9995926089582788,0.9759036144578314,2.409638554216864,1.0,126244.0,115749.0,126129.0,115.0,0.0414690102080593,1.0,12.0,7.175796171170225,0.3336980765004602,0.0059250960013171,2.922836222542086
2411,demand_spike,baseline,1.0,0.9865081471588732,0.7561608300907912,24.383916990920884,1.0,128755.0,118260.0,124940.0,3815.0,0.0168561068220004,10.0,11.0,15.507625886213248,0.0726499053111046,0.0050360377246404,2.970899305338257
2411,demand_spike,dual_only,1.0,0.9865081471588732,0.7561608300907912,24.383916990920884,1.0,128755.0,118260.0,124940.0,3815.0,0.0165834094416647,10.0,11.0,15.507625886213248,0.0726499053111046,0.0050360377246404,2.922836222542086
2411,demand_spike,safety_only,1.0,0.9957771306398444,0.8715953307392996,12.840466926070038,1.0,167207.0,153292.0,165877.0,1330.0,0.0165607828897095,4.75,6.0,11.43691334983193,0.1232492426363895,0.0191137720145084,0.6146690870858895
2411,demand_spike,flex_only,1.0,0.9957771306398444,0.8715953307392996,12.840466926070038,1.0,167733.0,153818.0,166403.0,1330.0,0.0166483583533857,4.75,6.0,11.43691334983193,0.1232492426363895,0.0039754875088737,2.970899305338257
2411,demand_spike,dynalloc_only,1.0,0.9957037387717766,0.9078455790784558,9.215442092154424,1.0,169262.0,155347.0,167992.0,1270.0,0.1058548845267951,4.5,6.0,9.444602821734726,0.2811340215516791,0.3014376102794605,0.132256297469186
2411,demand_spike,all_combined,1.0,0.9992961771461482,0.973941368078176,2.605863192182412,1.0,202065.0,185210.0,201835.0,230.0,0.0201027071242187,2.5,2.0,8.205275735504006,0.37972305971562,0.0898251259244104,0.071828460643374
24,capacity_loss,baseline,0.9975681140911028,0.8814936805989048,0.8509297195083517,14.699587177197932,0.8551301684532925,110117.0,106184.0,45202.0,64915.0,0.0474638382695452,100.5,109.0,14.373465709660522,0.0795512997304712,0.0148343423225096,2.7982452929189408
24,capacity_loss,dual_only,0.9975681140911028,0.8814936805989048,0.8509297195083517,14.699587177197932,0.8551301684532925,110232.0,106294.0,45317.0,64915.0,0.0477372553451215,100.5,109.0,14.373465709660522,0.0795512997304712,0.0148343423225096,2.8143646813339687
24,capacity_loss,safety_only,1.0,0.9999690348708076,0.9988351776354106,0.1164822364589368,1.0,64761.0,59353.0,64721.0,40.0,0.0440511331162885,1.0,53.0,3.882247021337856,0.2743518118458092,0.0147801997745188,2.7982452929189408
24,capacity_loss,flex_only,1.0,0.9999690348708076,0.9988351776354106,0.1164822364589368,1.0,64761.0,59353.0,64721.0,40.0,0.0440511331162885,1.0,53.0,3.882247021337856,0.2743518118458092,0.0147801997745188,2.7982452929189408
24,capacity_loss,dynalloc_only,1.0,0.9999773220028284,0.9985688729874777,0.1431127012522348,1.0,65327.0,59919.0,65292.0,35.0,0.064213848752771,0.5,93.0,2.2313449850849967,1.0965113744267507,0.0093791408242119,2.7982452929189408
24,capacity_loss,all_combined,1.0,1.0,1.0,0.0,1.0,79953.0,73340.0,79953.0,0.0,0.0717194054919847,0.0,1.0,1.4679022703456177,2.084100211084604,0.0083299149866978,2.8143646813339687
24,lead_time_surge,baseline,1.0,0.9973405761043672,0.9346938775510204,6.530612244897959,1.0,79679.0,73071.0,79179.0,500.0,0.0526521493822724,5.0,9.0,1.8364443115990656,1.3558183841842617,0.0075570281707752,2.7982452929189408
24,lead_time_surge,dual_only,1.0,0.9973405761043672,0.9346938775510204,6.530612244897959,1.0,79794.0,73181.0,79294.0,500.0,0.0529554539027612,5.0,9.0,1.8364443115990656,1.3558183841842617,0.0075570281707752,2.8143646813339687
24,lead_time_surge,safety_only,1.0,0.9997929916768356,0.9913232104121475,0.8676789587852451,1.0,105106.0,96338.0,105051.0,55.0,0.071084955727395,1.25,7.0,1.295710577769971,2.5895265199915234,0.0075711795935633,2.7982452929189408
24,lead_time_surge,flex_only,1.0,0.9997929916768356,0.9913232104121475,0.8676789587852451,1.0,105106.0,96338.0,105051.0,55.0,0.071084955727395,1.25,7.0,1.295710577769971,2.5895265199915234,0.0075711795935633,2.7982452929189408
24,lead_time_surge,dynalloc_only,1.0,0.9997929916768356,0.9913232104121475,0.8676789587852451,1.0,105108.0,96340.0,105053.0,55.0,0.0717709243338429,1.25,7.0,1.27935312485502,2.5151613722192243,0.0079708836323145,2.7982452929189408
24,lead_time_surge,all_combined,1.0,1.0,1.0,0.0,1.0,127968.0,117295.0,127968.0,0.0,0.0720341167972189,0.0,1.0,1.2648944794127637,2.5996353482934293,0.0077837904023213,2.8143646813339687
24,demand_spike,baseline,1.0,0.9857325382382542,0.7397820163487738,26.021798365122617,1.0,129825.0,119157.0,126100.0,3725.0,0.0171948665711336,9.5,12.0,14.51033869639413,0.0691246716756261,0.0061263583571886,2.7982452929189408
24,demand_spike,dual_only,1.0,0.9857325382382542,0.7397820163487738,26.021798365122617,1.0,129940.0,119267.0,126215.0,3725.0,0.0172939181924143,9.5,12.0,14.51033869639413,0.0691246716756261,0.0061263583571886,2.8143646813339687
24,demand_spike,safety_only,1.0,0.9957210913408108,0.8814713896457765,11.852861035422348,1.0,168355.0,154267.0,167210.0,1145.0,0.0171571372957886,4.75,6.0,10.36895140280582,0.1466622027575476,0.0370767175848462,0.3042919793263138
24,demand_spike,flex_only,1.0,0.9957210913408108,0.8814713896457765,11.852861035422348,1.0,168709.0,154621.0,167564.0,1145.0,0.0171804876052056,4.75,6.0,10.36895140280582,0.1466622027575476,0.0040373524250876,2.7982452929189408
24,demand_spike,dynalloc_only,1.0,0.9957003013482734,0.9059945504087192,9.400544959128066,1.0,168057.0,153969.0,166952.0,1105.0,0.0186217120146035,5.0,6.0,8.455331237819014,0.2576315870395814,0.1619664709427297,0.0527794368281565
24,demand_spike,all_combined,1.0,0.9992672358174614,0.9761904761904762,2.380952380952384,1.0,203331.0,186298.0,203136.0,195.0,0.0188927413331372,2.25,5.0,6.871258170769058,0.3619289934385586,0.0290309625440514,0.2616820309176005
200,capacity_loss,baseline,0.9664550172783878,0.8213496870277907,0.7947813822284908,17.76323077439685,0.8199121522693997,138391.0,134356.0,45276.0,93115.0,0.0514731128622904,106.75,109.0,12.296726258620684,0.0918770978833609,0.0156534902486194,2.9105326284927378
200,capacity_loss,dual_only,0.9664550172783878,0.8213496870277907,0.7947813822284908,17.76323077439685,0.8199121522693997,138511.0,134466.0,45396.0,93115.0,0.0507886404255733,106.75,109.0,12.296726258620684,0.0918770978833609,0.0156534902486194,2.871829327884149
200,capacity_loss,safety_only,1.0,0.999813106326319,0.9933269780743564,0.6673021925643452,1.0,64601.0,59421.0,64481.0,120.0,0.0474035578535025,2.0,25.0,3.343659001584149,0.459628359143157,0.0105976523686745,2.9105326284927378
200,capacity_loss,flex_only,1.0,0.999813106326319,0.9933269780743564,0.6673021925643452,1.0,64601.0,59421.0,64481.0,120.0,0.0474035578535025,2.0,25.0,3.343659001584149,0.459628359143157,0.0105976523686745,2.9105326284927378
200,capacity_loss,dynalloc_only,1.0,0.9999566686887944,0.9952335557673976,0.4766444232602529,1.0,65014.0,59801.0,64989.0,25.0,0.0579806847848938,0.25,25.0,2.0665026134966022,1.1888694593696507,0.0081085040590867,2.9105326284927378
200,capacity_loss,all_combined,1.0,1.0,1.0,0.0,1.0,79646.0,73193.0,79646.0,0.0,0.0651458047051005,0.0,1.0,1.119131778782774,2.26503213483679,0.0089489530727645,2.871829327884149
200,lead_time_surge,baseline,1.0,0.9711891543356216,0.7981651376146789,20.18348623853211,1.0,83394.0,76971.0,76239.0,7155.0,0.0385619006329878,24.25,31.0,28.500657220704465,0.0599346465231709,0.0077562738751404,2.9105326284927378
200,lead_time_surge,dual_only,1.0,0.9711891543356216,0.7981651376146789,20.18348623853211,1.0,83514.0,77081.0,76359.0,7155.0,0.0380491172277696,24.25,31.0,28.500657220704465,0.0599346465231709,0.0077562738751404,2.871829327884149
200,lead_time_surge,safety_only,1.0,0.9968222537784248,0.9464831804281344,5.35168195718655,1.0,104347.0,95723.0,103582.0,765.0,0.0378336791041839,4.5,13.0,13.423464610208669,0.117853202864654,0.0082167503458618,2.9105326284927378
200,lead_time_surge,flex_only,1.0,0.9968222537784248,0.9464831804281344,5.35168195718655,1.0,104347.0,95723.0,103582.0,765.0,0.0378336791041839,4.5,13.0,13.423464610208669,0.117853202864654,0.0082167503458618,2.9105326284927378
200,lead_time_surge,dynalloc_only,1.0,0.9971111868828918,0.9341692789968652,6.583072100313481,1.0,104524.0,95900.0,103994.0,530.0,0.043211561484673,4.25,12.0,10.23892872061457,0.2206642762034283,0.0065711433011641,2.9105326284927378
200,lead_time_surge,all_combined,1.0,0.9997319763873396,0.9847094801223242,1.5290519877675823,1.0,127405.0,116871.0,127390.0,15.0,0.058178017821725,0.75,12.0,4.578452585366081,0.6181078841065949,0.0071584218807656,2.871829327884149
200,demand_spike,baseline,1.0,0.9900255539824327,0.8081632653061225,19.183673469387752,1.0,128823.0,118299.0,125978.0,2845.0,0.0209078707135643,7.75,11.0,14.098546920913266,0.1048061649461947,0.0048615655960772,2.9105326284927378
200,demand_spike,dual_only,1.0,0.9900255539824327,0.8081632653061225,19.183673469387752,1.0,128943.0,118409.0,126098.0,2845.0,0.0206298447614101,7.75,11.0,14.098546920913266,0.1048061649461947,0.0048615655960772,2.871829327884149
200,demand_spike,safety_only,1.0,0.9979294547251668,0.926530612244898,7.346938775510203,1.0,167254.0,153310.0,166579.0,675.0,0.020370539475305,4.25,5.0,9.932615422554823,0.1752512440462167,0.0244082176220098,0.47944824558194
200,demand_spike,flex_only,1.0,0.9979294547251668,0.926530612244898,7.346938775510203,1.0,168147.0,154203.0,167472.0,675.0,0.0205642295937966,4.25,5.0,9.932615422554823,0.1752512440462167,0.0040589643941951,2.9105326284927378
200,demand_spike,dynalloc_only,1.0,0.9977589493822486,0.9471830985915493,5.2816901408450745,1.0,168496.0,154552.0,167786.0,710.0,0.0933202070188395,4.25,8.0,8.774886405336428,0.3290151646643079,0.2076443191380411,0.1556675968935678
200,demand_spike,all_combined,1.0,0.9999383667180276,0.9932203389830508,0.6779661016949157,1.0,202934.0,186040.0,202914.0,20.0,0.0251055949060643,0.25,2.0,6.7874183577233405,0.4271746481149295,0.0246935276029584,0.3506527847085114
