seed,scenario,strategy,step,fill_rate,total_cost,holding_cost,backlog_cost,total_inventory,total_backlog,total_pipeline,bullwhip_total,bullwhip_retailer,bullwhip_dc,bullwhip_plant,bullwhip_supplier
2411,capacity_loss,baseline,0,1.0,407.0,407.0,0.0,407,0,89,,,,,
2411,capacity_loss,baseline,1,1.0,771.0,771.0,0.0,370,0,105,,,,,
2411,capacity_loss,baseline,2,1.0,1156.0,1156.0,0.0,402,0,76,1.6852779736625254,0.6395474137931033,,,2.635110294117648
2411,capacity_loss,baseline,3,1.0,1549.0,1549.0,0.0,417,0,58,2.404403841670084,0.8562540693047819,,,2.808049535603715
2411,capacity_loss,baseline,4,1.0,1945.0,1945.0,0.0,407,0,48,0.2800897823729429,1.555516698723553,0.4452526799387443,0.1332760103181427,3.034338747099768
2411,capacity_loss,baseline,5,0.9606741573033708,2344.0,2309.0,35.0,393,7,63,0.338579496861398,2.1296192294732115,0.3325371549893843,0.1602154828411812,2.9841045566937474
2411,capacity_loss,baseline,6,0.9852216748768472,2746.0,2696.0,50.0,410,3,40,0.3642058247504266,3.3408395704523257,0.2266623938471398,0.1613176869786512,2.981465640148274
2411,capacity_loss,baseline,7,0.9208333333333332,3227.0,3082.0,145.0,402,19,43,0.3110234106903898,4.1190814393939394,0.1762559111781235,0.1437736949547973,2.9796796557494623
2411,capacity_loss,baseline,8,0.9213483146067416,3633.0,3448.0,185.0,396,8,54,0.2956716677882837,5.325245564289388,0.1300618658240055,0.1433304409560621,2.9783906153529545
2411,capacity_loss,baseline,9,0.906040268456376,4103.0,3838.0,265.0,408,16,36,0.2814171536439139,5.574718312530823,0.1143866440080564,0.1482220235229382,2.977416440831075
2411,capacity_loss,baseline,10,0.8738738738738738,4605.0,4215.0,390.0,396,25,46,0.257720035702686,6.491240724683277,0.0990000481517743,0.1347276264591439,2.976654322975366
2411,capacity_loss,baseline,11,0.8637602179836512,5091.0,4576.0,515.0,395,25,55,0.2490580480557911,7.044900800556909,0.109149196864667,0.1088343841304013,2.976041817917816
2411,capacity_loss,baseline,12,0.8546365914786967,5664.0,4969.0,695.0,406,36,33,0.2329977838612817,7.243836600582135,0.1029096738982125,0.1050415989923431,2.975538807351582
2411,capacity_loss,baseline,13,0.8434579439252337,6270.0,5330.0,940.0,389,49,58,0.2207165026053977,8.58067889908257,0.0838085235943366,0.1031622297396676,2.975118339604321
2411,capacity_loss,baseline,14,0.8747203579418344,6835.0,5705.0,1130.0,400,38,42,0.2174399922575891,9.885704257828596,0.0807590535675825,0.0915563386989237,2.974761637689288
2411,capacity_loss,baseline,15,0.8680851063829788,7380.0,6090.0,1290.0,400,32,40,0.2158003951433438,10.669662257039391,0.0798204718060757,0.0851882777019734,2.974455218433949
2411,capacity_loss,baseline,16,0.8642714570858283,7774.0,6449.0,1325.0,390,7,56,0.2058321535712355,10.562133775021604,0.0777578740499835,0.0842652650413777,2.974189149702933
2411,capacity_loss,baseline,17,0.8419117647058824,8443.0,6833.0,1610.0,403,57,37,0.1845784801688228,9.444540708896298,0.0811506039331731,0.0809792843691148,2.973955953577629
2411,capacity_loss,baseline,18,0.8321678321678322,9174.0,7209.0,1965.0,394,71,46,0.1778603815418434,10.286341916120373,0.0780456859891004,0.0745014837220637,2.973749892417592
2411,capacity_loss,baseline,19,0.8414023372287145,9808.0,7568.0,2240.0,392,55,53,0.175146302194883,11.043182528282976,0.0754562799930618,0.0706860441356763,2.97356649044327
2411,capacity_loss,baseline,20,0.8343949044585988,10466.0,7961.0,2505.0,406,53,32,0.1709586276446492,11.547907344037904,0.0712976527158911,0.0698327011569422,2.973402204918665
2411,capacity_loss,baseline,21,0.8177710843373494,11095.0,8325.0,2770.0,389,53,55,0.1632784346487825,11.645707519242151,0.0708172884197227,0.0665873322183627,2.973254195061185
2411,capacity_loss,baseline,22,0.8220946915351507,11576.0,8691.0,2885.0,397,23,48,0.1561733128413808,11.551127722036856,0.0735907109095567,0.0617940951680018,2.973120156391815
2411,capacity_loss,baseline,23,0.8183079056865464,12371.0,9086.0,3285.0,405,80,33,0.1528260996680684,11.429624122315468,0.0754961810126846,0.0595725172351155,2.972998199879993
2411,capacity_loss,baseline,24,0.8140770252324038,13134.0,9439.0,3695.0,386,82,62,0.1463724454007031,11.807902308648831,0.0713696633914787,0.0584244404192004,2.9728867623604462
2411,capacity_loss,baseline,25,0.8209718670076727,14019.0,9824.0,4195.0,405,100,34,0.1449596637524615,12.365553479808124,0.0690758755320297,0.0570878623188405,2.9727845391719185
2411,capacity_loss,baseline,26,0.8088779284833539,14830.0,10205.0,4625.0,396,86,44,0.1430799284005955,13.087108855561668,0.0674861018596486,0.0544967961319069,2.9726904328419588
2411,capacity_loss,baseline,27,0.8135391923990499,15638.0,10558.0,5080.0,388,91,58,0.1412144650524276,13.263381199514304,0.0679751564027646,0.0526911565321941,2.9726035135287807
2411,capacity_loss,baseline,28,0.8166089965397924,16524.0,10949.0,5575.0,406,99,32,0.1390550588993388,13.838289267300327,0.0649867630140047,0.052018073202535,2.9725229881930475
2411,capacity_loss,baseline,29,0.8127802690582959,17301.0,11316.0,5985.0,391,82,54,0.1342365398001546,14.55532735665128,0.062782358781891,0.0494193298040411,2.972448176331673
2411,capacity_loss,baseline,30,0.81445523193096,17930.0,11685.0,6245.0,397,52,46,0.1271951785148371,14.2624588182722,0.0627453816052804,0.047817885842743,2.9723784906999127
2411,capacity_loss,baseline,31,0.8119747899159664,18489.0,12074.0,6415.0,403,34,36,0.1252396282962807,14.31879749405418,0.0619886159325399,0.047471032820396,2.972313421865046
2411,capacity_loss,baseline,32,0.7989949748743719,19095.0,12435.0,6660.0,389,49,56,0.1183356976693476,13.49871634471642,0.0632033999353021,0.0466656326814526,2.972252525731632
2411,capacity_loss,baseline,33,0.7959381044487428,20217.0,12812.0,7405.0,400,149,40,0.114569669073068,13.103685215717352,0.0650068549964113,0.0452521993617883,2.9721954133921606
2411,capacity_loss,baseline,34,0.7939508506616257,21259.0,13194.0,8065.0,398,132,41,0.1130220865271876,13.467029999509004,0.0634782347063022,0.044483314038355,2.9721417428125694
2411,capacity_loss,baseline,35,0.7950367647058824,22481.0,13551.0,8930.0,391,173,57,0.1101616497053252,13.556311421707797,0.0625400394773005,0.0437188378931219,2.972091211976981
2411,capacity_loss,baseline,36,0.7971274685816876,23624.0,13944.0,9680.0,407,150,32,0.1080039860593508,13.907444391061016,0.0610393439759885,0.0428082451693204,2.9720435532013294
2411,capacity_loss,baseline,37,0.791958041958042,24853.0,14313.0,10540.0,391,172,52,0.1062903327426328,14.170267957823103,0.0599785865237595,0.0420795306388526,2.9719985283898125
2411,capacity_loss,baseline,38,0.7993168232280102,25926.0,14676.0,11250.0,395,142,50,0.1040219699537943,14.366426409988277,0.0592785059586586,0.0410995160314579,2.9719559250566854
2411,capacity_loss,baseline,39,0.8003355704697986,26942.0,15072.0,11870.0,406,124,31,0.1024161650172046,14.870811211316772,0.0573820779299598,0.040385095452694,2.971915552973078
2411,capacity_loss,baseline,40,0.8018092105263158,28027.0,15427.0,12600.0,386,146,61,0.1012436967263673,15.198326147603344,0.0568050598269245,0.039459751553183,2.9718772413272445
2411,capacity_loss,baseline,41,0.8124494745351657,28984.0,15804.0,13180.0,403,116,40,0.0994730809445543,15.50502808424906,0.0564618551155621,0.0382342277546713,2.971840836308756
2411,capacity_loss,baseline,42,0.8055335968379447,29885.0,16195.0,13690.0,402,102,38,0.0977418567361645,15.6090768307135,0.056685111545578,0.0371718243771645,2.971806199044642
2411,capacity_loss,baseline,43,0.8033794162826421,30609.0,16544.0,14065.0,386,75,64,0.0949279846162266,15.390994686483449,0.0571591558718365,0.0363099878407969,2.971773203829028
2411,capacity_loss,baseline,44,0.8061607813673929,31477.0,16937.0,14540.0,408,95,30,0.0932579523913044,15.235807798496037,0.0577818885553791,0.0356465574372202,2.971741736598732
2411,capacity_loss,baseline,45,0.8017686072218129,32251.0,17311.0,14940.0,392,80,49,0.0918367235720355,15.19620455679668,0.0587349645635371,0.0346240499719584,2.9717116936158803
2411,capacity_loss,baseline,46,0.8073593073593074,33035.0,17665.0,15370.0,391,86,56,0.0905956805858435,15.03339928024299,0.0601637014367964,0.0337064702352624,2.9716829803254
2411,capacity_loss,baseline,47,0.8070921985815603,33773.0,18068.0,15705.0,410,67,25,0.08943635193432,15.1734144264688,0.0605626851721079,0.0327511965901547,2.971655510360952
2411,capacity_loss,baseline,48,0.8033356497567755,34375.0,18425.0,15950.0,384,49,60,0.0882649580174107,15.073331204411938,0.0612698441250083,0.0321616027747429,2.971629204677262
2411,capacity_loss,baseline,49,0.8099455040871935,35564.0,18789.0,16775.0,398,165,47,0.0866735380014305,14.886886219997484,0.0628786337212935,0.0311593669927384,2.9716039907904834
2411,capacity_loss,baseline,50,0.7997338656021291,36728.0,19193.0,17535.0,409,152,28,0.0838958472353928,14.578322929995998,0.0640802350218159,0.0302218749528166,2.971579802111213
2411,capacity_loss,baseline,51,0.8027522935779816,37863.0,19538.0,18325.0,383,158,69,0.0828144843845526,14.62998937644278,0.0648031602841347,0.0293955846397238,2.971556577357265
2411,capacity_loss,baseline,52,0.8056446440025657,39468.0,19928.0,19540.0,409,243,31,0.0813818604225381,14.461789792850476,0.0661442799872773,0.0286307374271965,2.971534260035255
2411,capacity_loss,baseline,53,0.7959824231010671,41004.0,20309.0,20695.0,396,231,47,0.0793376261944344,14.226312773182562,0.0671269567287661,0.0279583981924822,2.9715127979818035
2411,capacity_loss,baseline,54,0.8014796547472256,42352.0,20662.0,21690.0,389,199,58,0.0786380121519963,14.170441799544282,0.0678189362727031,0.0275374407703188,2.971492142956473
