seed,scenario,strategy,agent_id,tier,final_inventory,final_backlog,total_holding_cost,total_backlog_cost,total_cost,base_stock,capacity,lead_time,total_demand_received,total_orders_placed,avg_order_qty,order_variance,backlog_periods,total_demand,fulfilled_demand,agent_fill_rate
24,capacity_loss,flex_only,6,dc,31,0,2624.0,0.0,2624.0,39,0,2,2999,1678,13.983333333333333,38.73305555555556,0,,,
24,capacity_loss,flex_only,7,dc,19,0,2766.0,0.0,2766.0,39,0,2,2203,1568,13.066666666666666,55.82888888888888,0,,,
24,capacity_loss,flex_only,8,retailer,22,0,1655.0,0.0,1655.0,26,0,1,838,1272,10.6,36.55666666666666,0,838.0,838.0,1.0
24,capacity_loss,flex_only,9,retailer,15,0,1825.0,0.0,1825.0,26,0,1,776,977,8.141666666666667,25.85493055555556,0,776.0,776.0,1.0
24,capacity_loss,flex_only,10,retailer,15,0,1431.0,15.0,1446.0,26,0,1,847,1727,14.391666666666667,89.30493055555556,2,847.0,847.0,1.0
24,capacity_loss,flex_only,11,retailer,14,0,1658.0,25.0,1683.0,26,0,1,804,1226,10.216666666666667,65.83638888888888,2,804.0,804.0,1.0
24,capacity_loss,dynalloc_only,0,supplier,81,0,9676.0,0.0,9676.0,78,50,3,17,20,0.16666666666666666,1.0888888888888886,0,,,
24,capacity_loss,dynalloc_only,1,supplier,80,0,9565.0,0.0,9565.0,78,50,3,16,18,0.15,1.0608333333333324,0,,,
24,capacity_loss,dynalloc_only,2,supplier,88,0,10540.0,0.0,10540.0,78,50,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
24,capacity_loss,dynalloc_only,3,supplier,89,0,10658.0,0.0,10658.0,78,50,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
24,capacity_loss,dynalloc_only,4,plant,65,0,6099.0,0.0,6099.0,65,60,2,1685,17,0.14166666666666666,0.7549305555555557,0,,,
24,capacity_loss,dynalloc_only,5,plant,65,0,6218.0,0.0,6218.0,65,60,2,1567,16,0.13333333333333333,0.6488888888888891,0,,,
24,capacity_loss,dynalloc_only,6,dc,9,0,2637.0,0.0,2637.0,39,0,2,1983,1685,14.041666666666666,97.9232638888889,0,,,
24,capacity_loss,dynalloc_only,7,dc,28,0,2763.0,0.0,2763.0,39,0,2,1766,1567,13.058333333333334,51.27159722222222,0,,,
24,capacity_loss,dynalloc_only,8,retailer,26,0,1774.0,0.0,1774.0,26,0,1,838,887,7.391666666666667,26.738263888888888,0,838.0,838.0,1.0
24,capacity_loss,dynalloc_only,9,retailer,15,0,1868.0,0.0,1868.0,26,0,1,776,812,6.766666666666667,18.27888888888889,0,776.0,776.0,1.0
24,capacity_loss,dynalloc_only,10,retailer,11,0,1697.0,0.0,1697.0,26,0,1,847,1096,9.133333333333333,51.632222222222225,0,847.0,847.0,1.0
24,capacity_loss,dynalloc_only,11,retailer,14,0,1797.0,35.0,1832.0,26,0,1,804,954,7.95,37.04750000000001,2,804.0,804.0,1.0
