Scenario,Strategy,Pre-Fill,Post-Fill,Min Fill,Fill Drop %,Final Fill,Final Cost,Holding Cost,Backlog Cost,Bullwhip,Backlog Dur,TTR,post_fill_mean,post_fill_std,final_cost_mean,final_cost_std,ttr_mean,ttr_std,BW Retailer,BW DC,BW Plant,BW Supplier
capacity_loss,baseline,0.998 ± nan,0.881 ± nan,0.851 ± nan,14.7 ± nan,0.855 ± nan,110117 ± nan,45202 ± nan,64915 ± nan,0.047 ± nan,100.5 ± nan,109.0 ± nan,0.8814936805989048,,110117.0,,109.0,,14.37 ± nan,0.08 ± nan,0.01 ± nan,2.80 ± nan
capacity_loss,dual_only,0.998 ± nan,0.881 ± nan,0.851 ± nan,14.7 ± nan,0.855 ± nan,110232 ± nan,45317 ± nan,64915 ± nan,0.048 ± nan,100.5 ± nan,109.0 ± nan,0.8814936805989048,,110232.0,,109.0,,14.37 ± nan,0.08 ± nan,0.01 ± nan,2.81 ± nan
capacity_loss,safety_only,1.000 ± nan,1.000 ± nan,0.999 ± nan,0.1 ± nan,1.000 ± nan,64761 ± nan,64721 ± nan,40 ± nan,0.044 ± nan,1.0 ± nan,53.0 ± nan,0.9999690348708075,,64761.0,,53.0,,3.88 ± nan,0.27 ± nan,0.01 ± nan,2.80 ± nan
capacity_loss,flex_only,1.000 ± nan,1.000 ± nan,0.999 ± nan,0.1 ± nan,1.000 ± nan,64761 ± nan,64721 ± nan,40 ± nan,0.044 ± nan,1.0 ± nan,53.0 ± nan,0.9999690348708075,,64761.0,,53.0,,3.88 ± nan,0.27 ± nan,0.01 ± nan,2.80 ± nan
capacity_loss,dynalloc_only,1.000 ± nan,1.000 ± nan,0.999 ± nan,0.1 ± nan,1.000 ± nan,65327 ± nan,65292 ± nan,35 ± nan,0.064 ± nan,0.5 ± nan,93.0 ± nan,0.9999773220028283,,65327.0,,93.0,,2.23 ± nan,1.10 ± nan,0.01 ± nan,2.80 ± nan
capacity_loss,all_combined,1.000 ± nan,1.000 ± nan,1.000 ± nan,0.0 ± nan,1.000 ± nan,79953 ± nan,79953 ± nan,0 ± nan,0.072 ± nan,0.0 ± nan,1.0 ± nan,1.0,,79953.0,,1.0,,1.47 ± nan,2.08 ± nan,0.01 ± nan,2.81 ± nan
lead_time_surge,baseline,1.000 ± nan,0.997 ± nan,0.935 ± nan,6.5 ± nan,1.000 ± nan,79679 ± nan,79179 ± nan,500 ± nan,0.053 ± nan,5.0 ± nan,9.0 ± nan,0.9973405761043671,,79679.0,,9.0,,1.84 ± nan,1.36 ± nan,0.01 ± nan,2.80 ± nan
lead_time_surge,dual_only,1.000 ± nan,0.997 ± nan,0.935 ± nan,6.5 ± nan,1.000 ± nan,79794 ± nan,79294 ± nan,500 ± nan,0.053 ± nan,5.0 ± nan,9.0 ± nan,0.9973405761043671,,79794.0,,9.0,,1.84 ± nan,1.36 ± nan,0.01 ± nan,2.81 ± nan
lead_time_surge,safety_only,1.000 ± nan,1.000 ± nan,0.991 ± nan,0.9 ± nan,1.000 ± nan,105106 ± nan,105051 ± nan,55 ± nan,0.071 ± nan,1.2 ± nan,7.0 ± nan,0.9997929916768357,,105106.0,,7.0,,1.30 ± nan,2.59 ± nan,0.01 ± nan,2.80 ± nan
lead_time_surge,flex_only,1.000 ± nan,1.000 ± nan,0.991 ± nan,0.9 ± nan,1.000 ± nan,105106 ± nan,105051 ± nan,55 ± nan,0.071 ± nan,1.2 ± nan,7.0 ± nan,0.9997929916768357,,105106.0,,7.0,,1.30 ± nan,2.59 ± nan,0.01 ± nan,2.80 ± nan
lead_time_surge,dynalloc_only,1.000 ± nan,1.000 ± nan,0.991 ± nan,0.9 ± nan,1.000 ± nan,105108 ± nan,105053 ± nan,55 ± nan,0.072 ± nan,1.2 ± nan,7.0 ± nan,0.9997929916768357,,105108.0,,7.0,,1.28 ± nan,2.52 ± nan,0.01 ± nan,2.80 ± nan
lead_time_surge,all_combined,1.000 ± nan,1.000 ± nan,1.000 ± nan,0.0 ± nan,1.000 ± nan,127968 ± nan,127968 ± nan,0 ± nan,0.072 ± nan,0.0 ± nan,1.0 ± nan,1.0,,127968.0,,1.0,,1.26 ± nan,2.60 ± nan,0.01 ± nan,2.81 ± nan
demand_spike,baseline,1.000 ± nan,0.986 ± nan,0.740 ± nan,26.0 ± nan,1.000 ± nan,129825 ± nan,126100 ± nan,3725 ± nan,0.017 ± nan,9.5 ± nan,12.0 ± nan,0.9857325382382542,,129825.0,,12.0,,14.51 ± nan,0.07 ± nan,0.01 ± nan,2.80 ± nan
demand_spike,dual_only,1.000 ± nan,0.986 ± nan,0.740 ± nan,26.0 ± nan,1.000 ± nan,129940 ± nan,126215 ± nan,3725 ± nan,0.017 ± nan,9.5 ± nan,12.0 ± nan,0.9857325382382542,,129940.0,,12.0,,14.51 ± nan,0.07 ± nan,0.01 ± nan,2.81 ± nan
demand_spike,safety_only,1.000 ± nan,0.996 ± nan,0.881 ± nan,11.9 ± nan,1.000 ± nan,168355 ± nan,167210 ± nan,1145 ± nan,0.017 ± nan,4.8 ± nan,6.0 ± nan,0.9957210913408108,,168355.0,,6.0,,10.37 ± nan,0.15 ± nan,0.04 ± nan,0.30 ± nan
demand_spike,flex_only,1.000 ± nan,0.996 ± nan,0.881 ± nan,11.9 ± nan,1.000 ± nan,168709 ± nan,167564 ± nan,1145 ± nan,0.017 ± nan,4.8 ± nan,6.0 ± nan,0.9957210913408108,,168709.0,,6.0,,10.37 ± nan,0.15 ± nan,0.00 ± nan,2.80 ± nan
demand_spike,dynalloc_only,1.000 ± nan,0.996 ± nan,0.906 ± nan,9.4 ± nan,1.000 ± nan,168057 ± nan,166952 ± nan,1105 ± nan,0.019 ± nan,5.0 ± nan,6.0 ± nan,0.9957003013482734,,168057.0,,6.0,,8.46 ± nan,0.26 ± nan,0.16 ± nan,0.05 ± nan
demand_spike,all_combined,1.000 ± nan,0.999 ± nan,0.976 ± nan,2.4 ± nan,1.000 ± nan,203331 ± nan,203136 ± nan,195 ± nan,0.019 ± nan,2.2 ± nan,5.0 ± nan,0.9992672358174614,,203331.0,,5.0,,6.87 ± nan,0.36 ± nan,0.03 ± nan,0.26 ± nan
