seed,scenario,strategy,step,fill_rate,total_cost,holding_cost,backlog_cost,total_inventory,total_backlog,total_pipeline,bullwhip_total,bullwhip_retailer,bullwhip_dc,bullwhip_plant,bullwhip_supplier
24,capacity_loss,baseline,0,1.0,406.0,406.0,0.0,407,0,89,,,,,
24,capacity_loss,baseline,1,1.0,773.0,773.0,0.0,370,0,104,,,,,
24,capacity_loss,baseline,2,1.0,1160.0,1160.0,0.0,406,0,75,3.480899795773297,1.5133781168165772,,,2.300085984522786
24,capacity_loss,baseline,3,1.0,1563.0,1563.0,0.0,421,0,58,3.413572661589987,1.3785121662134838,,,2.4762731481481484
24,capacity_loss,baseline,4,1.0,1956.0,1956.0,0.0,412,0,51,0.6293685137909554,1.3255127408328156,0.8418525840158145,0.21502851392150285,2.6229439055250947
24,capacity_loss,baseline,5,0.9876543209876543,2356.0,2346.0,10.0,415,2,49,0.4602960205033154,1.9321543765988207,0.34324030445813697,0.2605596620908131,2.6637283708782236
24,capacity_loss,baseline,6,1.0,2752.0,2742.0,10.0,417,0,41,0.42991972542225637,2.2995709437103766,0.2751877346683354,0.2526056471480007,2.68948069241012
24,capacity_loss,baseline,7,1.0,3139.0,3129.0,10.0,407,0,44,0.3862486290980192,2.881599145698458,0.2240865795759488,0.22095012501644953,2.7072183494490667
24,capacity_loss,baseline,8,0.9956896551724138,3529.0,3514.0,15.0,412,1,49,0.36824258441569707,3.6169363777432957,0.17366553304746415,0.21551724137931033,2.720179023156256
24,capacity_loss,baseline,9,0.9923371647509579,3933.0,3908.0,25.0,413,2,39,0.3559228285313304,3.9053204580982053,0.1508644965082226,0.22127858142790474,2.73006345395301
24,capacity_loss,baseline,10,0.9501661129568106,4384.0,4284.0,100.0,399,15,49,0.3000003812843474,3.752575616123728,0.15394205141432377,0.18968165316950575,2.7378506822014415
24,capacity_loss,baseline,11,0.9567901234567902,4805.0,4660.0,145.0,403,9,48,0.2916185873836411,4.620446972308399,0.14662661911019337,0.1568597326778307,2.7441441441441445
24,capacity_loss,baseline,12,0.9275766016713092,5267.0,5047.0,220.0,406,15,41,0.260916448566205,4.594363178171074,0.1349281368913449,0.1530896353511766,2.7493360313646122
24,capacity_loss,baseline,13,0.9293193717277487,5748.0,5423.0,325.0,399,21,49,0.26225837885886094,5.7816679374368904,0.10694654646750457,0.15402600598876082,2.7536922898011396
24,capacity_loss,baseline,14,0.9292682926829269,6154.0,5799.0,355.0,401,6,46,0.2509360360591562,6.212456061288868,0.10950292188772524,0.13377479123173283,2.7573996340544613
24,capacity_loss,baseline,15,0.9350348027842227,6677.0,6182.0,495.0,402,28,42,0.24396986615935942,6.302788876813497,0.11474345028078108,0.12220054409057185,2.7605930081137933
24,capacity_loss,baseline,16,0.93058568329718,7139.0,6549.0,590.0,394,19,51,0.2392751465919258,7.136481244223023,0.10026504114846099,0.12101090688749745,2.7633723653395807
24,capacity_loss,baseline,17,0.9244897959183673,7544.0,6929.0,615.0,402,5,41,0.22695321401644084,7.149446002716047,0.09768800586038696,0.11748971193415637,2.7658133192574996
24,capacity_loss,baseline,18,0.9038461538461539,8177.0,7312.0,865.0,401,50,43,0.21679564746874921,6.952628096911073,0.1053118010585401,0.10697012247445203,2.7679741272078933
24,capacity_loss,baseline,19,0.8987341772151899,8754.0,7674.0,1080.0,392,43,55,0.21930676917969164,8.630234201468479,0.09162496007652719,0.10012706916683836,2.7699003999686296
24,capacity_loss,baseline,20,0.9,9258.0,8058.0,1200.0,403,24,38,0.21037186370702218,9.087289775264177,0.08293984336124273,0.10070593605817044,2.771628356765602
